combat,3,12 MIN Cardio Boxing 1,14,HipHop
combat,3,Climb On,13,Rock
groove,1,Vintage Swing 2,10,Soul
groove,2,Wings of Rebirth 1,13,Cinematic
combat,2,Salute to the Champion,14,HipHop
combat,3,Battle Roar 1,12,"HipHop, Rock"
combat,3,Boxing Dance 1,13,"HipHop, Pop"
groove,1,5 MIN Arm Sculpt,7,Pop
groove,3,Dancehall Heat 2,11,World
combat,2,Rockstar Roadtrip,15,Rock
combat,3,Let Out the Beast 2,33,"HipHop, Rock"
combat,3,Unapologetic Queen,14,Pop
groove,1,Shared Bliss,12,Pop
groove,3,Destiny's Call,15,Cinematic
combat,1,Power Up 2,13,Pop
combat,2,Quick Dodge Workout,13,Pop
combat,3,Empower Your Day 2,12,HipHop
groove,2,Claim the Crown,13,HipHop
groove,2,Right on Track,14,"HipHop, Pop"
combat,1,Charging Up,14,Electronic
combat,1,Golden Vibes,15,"Pop, Electronic"
combat,3,Battle Rope Bootcamp 1,12,Electronic
groove,2,Get Funky 4,13,Pop
groove,3,LoveFizz Electro 2,14,"Pop, Electronic"
combat,2,First Blood,14,HipHop
combat,3,5 MIN Fast Burning  2,7,"Rock, HipHop"
combat,3,Box to Victory 3,11,"Alt, HipHop"
groove,2,Full Throttle,12,HipHop
groove,2,Wild Riders,12,Rock
combat,2,Chasing Sunsets,14,"Rock, Pop"
combat,2,Happy Hour 2,11,"Rock, Pop"
combat,2,Tropical Beats 2,10,"Electronic, World"
groove,1,Merry-Go-Wonderland,15,Pop
groove,1,Mobility & Cardio,15,"Electronic, Pop"
combat,2,5 MIN Fast Burning  3,6,HipHop
combat,2,My Soul,14,Pop
combat,3,Enjoy the Moment,14,Pop
groove,2,Got That Sauce,14,Pop
groove,3,Rink Fury,12,HipHop
combat,2,Battle Born,12,HipHop
combat,2,Supernova Girl (Dasha),11,"Pop, Rock"
combat,3,Legendary Rise 2,16,Cinematic
groove,1,Chasing the Horizon,11,Folk
groove,2,5 MIN Abs Blast 1,8,Rock
combat,1,Happy Jabs 1,14,Rock
combat,2,Light Up,14,HipHop
combat,3,Rockin' Valkyrie 2,12,Rock
groove,2,Rise & Shine,12,Folk
groove,3,Carefree Fiesta 4,13,World
combat,1,Find Your Light,15,Pop
combat,2,Strength in Solitude 1,12,Cinematic
combat,3,Ghost Hunt,19,Cinematic
groove,2,5 MIN Cardio Workout,8,Electronic
groove,3,Under the Spotlight,12,Pop
combat,1,Watch Me Shine,14,Pop
combat,2,Steel Resolve,13,Cinematic
combat,3,Battle Rope Bootcamp 2,13,"Electronic, Alt"
groove,2,Abs Rhythm Blast 1,14,"Alt, Pop"
groove,3,Cyberpunk World 3,14,Electronic
combat,1,Zip Zap!,12,"Alt, Pop"
